review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
25,41,253,2,Buena calidad,Bueno pero esperaba un poco más.,True,49,2024-10-20
26,91,421,1,Excelente producto,Llegó a tiempo y en perfecto estado.,False,50,2023-10-30
27,63,257,3,No tan bueno,Bueno pero esperaba un poco más.,True,49,2025-03-29
28,100,299,5,Satisfecho,Excelente relación calidad-precio.,True,28,2025-09-01
29,82,338,1,Podría mejorar,Muy buena calidad por el precio.,True,33,2024-06-22
30,44,498,5,Satisfecho,Excelente relación calidad-precio.,True,45,2025-07-05
31,3,487,4,Cumple expectativas,Bueno pero esperaba un poco más.,True,13,2024-05-30
32,2,439,3,Buena calidad,Bueno pero esperaba un poco más.,False,29,2024-01-10
33,87,314,2,Satisfecho,No cumplió mis expectativas.,True,38,2023-07-25
34,74,377,3,Muy bueno,Llegó a tiempo y en perfecto estado.,True,42,2023-07-08
35,81,400,1,Recomendado,Llegó a tiempo y en perfecto estado.,True,49,2024-09-18
36,35,149,4,Cumple expectativas,Llegó a tiempo y en perfecto estado.,False,15,2025-05-16
37,73,321,4,Muy bueno,No cumplió mis expectativas.,False,0,2025-01-15
38,98,408,1,No tan bueno,Llegó a tiempo y en perfecto estado.,True,11,2024-03-05
39,88,393,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,True,29,2025-02-10
40,20,230,4,Buena calidad,No cumplió mis expectativas.,True,21,2025-06-05
41,43,231,1,Buena calidad,Cumple con lo prometido.,True,18,2025-10-25
42,70,30,2,Excelente producto,No cumplió mis expectativas.,True,12,2025-06-10
43,11,408,1,No tan bueno,Cumple con lo prometido.,True,24,2023-12-15
44,32,219,1,No tan bueno,Excelente relación calidad-precio.,False,50,2025-03-17
45,49,191,4,Podría mejorar,No cumplió mis expectativas.,True,4,2024-04-28
46,68,339,1,Muy bueno,Cumple con lo prometido.,True,38,2025-06-18
47,32,288,2,Excelente producto,No cumplió mis expectativas.,True,1,2023-11-13
48,74,404,3,No tan bueno,Cumple con lo prometido.,True,26,2025-04-07
49,11,487,2,Buena calidad,Bueno pero esperaba un poco más.,True,2,2024-08-31
50,80,263,3,Buena calidad,Llegó a tiempo y en perfecto estado.,True,11,2024-06-11
51,32,411,4,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,26,2024-06-12
52,64,186,4,Excelente producto,Bueno pero esperaba un poco más.,True,25,2024-12-08
53,1,205,2,Satisfecho,El producto es correcto pero la entrega tardó.,True,0,2024-05-03
54,32,52,1,Muy bueno,No cumplió mis expectativas.,True,10,2024-07-16
55,67,487,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",True,14,2025-02-08
56,60,247,3,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",False,34,2024-04-02
57,5,435,4,Muy bueno,El producto es correcto pero la entrega tardó.,True,13,2025-01-29
58,10,199,4,No tan bueno,Llegó a tiempo y en perfecto estado.,True,15,2023-04-02
59,11,436,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",True,9,2024-01-23
60,18,410,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",True,23,2023-12-06
61,34,61,2,Excelente producto,Excelente relación calidad-precio.,True,30,2025-05-02
62,17,55,4,Buena calidad,No cumplió mis expectativas.,True,50,2024-10-28
63,23,222,5,Excelente producto,Llegó a tiempo y en perfecto estado.,True,2,2025-07-03
64,21,87,4,No tan bueno,Excelente relación calidad-precio.,False,44,2023-08-03
65,59,217,3,Cumple expectativas,Muy buena calidad por el precio.,True,15,2025-09-30
66,35,248,4,Cumple expectativas,Excelente relación calidad-precio.,True,38,2023-12-07
67,27,109,1,Podría mejorar,Excelente relación calidad-precio.,True,43,2023-08-04
68,18,429,2,Satisfecho,Bueno pero esperaba un poco más.,True,18,2024-01-20
69,7,49,1,Muy bueno,Cumple con lo prometido.,True,50,2024-11-24
70,1,255,3,Cumple expectativas,Muy buena calidad por el precio.,True,35,2023-01-20
71,83,88,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,True,43,2023-02-08
72,91,113,1,No tan bueno,Muy buena calidad por el precio.,False,8,2023-05-24
73,78,50,3,Buena calidad,El producto es correcto pero la entrega tardó.,True,46,2025-04-01
74,77,348,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",False,48,2023-12-11
75,12,375,3,Satisfecho,Llegó a tiempo y en perfecto estado.,True,15,2024-09-11
76,54,406,5,Cumple expectativas,Muy buena calidad por el precio.,True,15,2025-05-25
77,25,484,1,Buena calidad,Bueno pero esperaba un poco más.,True,12,2023-10-21
78,9,149,5,Muy bueno,No cumplió mis expectativas.,True,45,2024-09-24
79,56,202,5,Podría mejorar,Cumple con lo prometido.,True,49,2025-01-19
80,100,389,1,Buena calidad,Llegó a tiempo y en perfecto estado.,True,42,2023-11-11
81,36,256,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",False,11,2024-12-19
82,5,110,5,Muy bueno,Cumple con lo prometido.,True,34,2025-05-13
83,21,321,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",True,21,2024-05-07
84,98,473,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",True,0,2024-02-23
85,80,162,4,Podría mejorar,Llegó a tiempo y en perfecto estado.,True,23,2025-03-07
86,4,254,2,Cumple expectativas,Cumple con lo prometido.,True,1,2025-11-05
87,34,294,3,Muy bueno,No cumplió mis expectativas.,True,17,2024-04-12
88,53,445,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",True,38,2024-08-24
89,4,360,1,Recomendado,No cumplió mis expectativas.,False,10,2024-03-11
90,82,250,4,Satisfecho,Cumple con lo prometido.,True,34,2024-02-13
91,16,223,3,Satisfecho,Excelente relación calidad-precio.,True,32,2024-01-28
92,80,196,3,Cumple expectativas,Llegó a tiempo y en perfecto estado.,True,35,2024-07-31
93,20,440,5,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",False,29,2023-04-21
94,77,420,2,Recomendado,El producto es correcto pero la entrega tardó.,True,40,2023-06-05
95,19,313,5,Podría mejorar,No cumplió mis expectativas.,True,26,2024-05-07
96,27,28,1,Muy bueno,No cumplió mis expectativas.,False,35,2024-08-28
97,34,203,3,Buena calidad,No cumplió mis expectativas.,True,37,2023-08-05
98,33,195,4,Satisfecho,Excelente relación calidad-precio.,False,30,2023-06-23
99,13,120,4,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,50,2023-02-19
100,85,308,5,Podría mejorar,No cumplió mis expectativas.,True,2,2025-07-22
101,72,95,5,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,35,2024-11-21
102,48,52,1,Satisfecho,Llegó a tiempo y en perfecto estado.,False,28,2023-04-26
103,16,27,2,Buena calidad,Llegó a tiempo y en perfecto estado.,True,6,2023-11-29
104,6,412,3,Podría mejorar,No cumplió mis expectativas.,True,30,2023-06-13
105,27,330,2,Satisfecho,Cumple con lo prometido.,False,13,2023-03-03
106,96,156,3,Recomendado,No cumplió mis expectativas.,True,25,2025-02-24
107,62,341,5,Muy bueno,Cumple con lo prometido.,True,28,2025-02-11
108,56,30,2,Satisfecho,No cumplió mis expectativas.,True,8,2025-03-21
109,64,237,1,Muy bueno,Cumple con lo prometido.,True,0,2025-10-11
110,47,47,5,Cumple expectativas,No cumplió mis expectativas.,True,2,2025-12-11
111,78,500,3,Muy bueno,Llegó a tiempo y en perfecto estado.,True,10,2023-08-23
112,6,418,5,Satisfecho,No cumplió mis expectativas.,True,30,2024-05-19
113,76,21,4,No tan bueno,El producto es correcto pero la entrega tardó.,True,25,2025-01-18
114,21,343,5,Buena calidad,Bueno pero esperaba un poco más.,True,29,2024-06-03
115,79,463,1,Cumple expectativas,Excelente relación calidad-precio.,True,24,2025-12-08
116,63,402,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",True,1,2024-10-04
117,13,106,1,Excelente producto,El producto es correcto pero la entrega tardó.,False,45,2023-07-25
118,5,16,3,Cumple expectativas,Llegó a tiempo y en perfecto estado.,True,49,2024-12-03
119,18,401,3,Excelente producto,Llegó a tiempo y en perfecto estado.,True,14,2023-06-12
120,74,193,2,Recomendado,Cumple con lo prometido.,True,38,2025-09-25
121,78,280,4,Buena calidad,No cumplió mis expectativas.,True,23,2024-12-10
122,92,8,1,Excelente producto,Muy buena calidad por el precio.,True,3,2023-07-11
123,31,42,3,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",True,22,2025-11-29
124,41,483,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,17,2025-07-11
125,96,318,5,No tan bueno,Bueno pero esperaba un poco más.,False,42,2023-10-26
126,24,288,3,Cumple expectativas,Muy buena calidad por el precio.,True,18,2023-01-02
127,27,392,2,Satisfecho,Muy buena calidad por el precio.,False,46,2023-10-20
128,34,437,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",False,18,2023-07-17
129,87,197,4,Recomendado,Bueno pero esperaba un poco más.,True,45,2024-02-04
130,55,179,4,Cumple expectativas,El producto es correcto pero la entrega tardó.,False,36,2024-08-10
131,59,188,3,Buena calidad,Excelente relación calidad-precio.,True,35,2023-09-11
132,83,117,2,Excelente producto,Muy buena calidad por el precio.,False,6,2025-01-05
133,53,349,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",False,36,2025-08-30
134,60,409,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",True,37,2023-01-09
135,83,179,5,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,15,2023-07-30
136,71,56,5,Excelente producto,No cumplió mis expectativas.,True,2,2025-11-27
137,91,166,3,Buena calidad,Cumple con lo prometido.,True,31,2023-03-16
138,49,401,1,Podría mejorar,Bueno pero esperaba un poco más.,True,50,2024-09-10
139,92,50,2,Recomendado,Bueno pero esperaba un poco más.,False,48,2023-02-12
140,28,136,5,Cumple expectativas,Cumple con lo prometido.,False,37,2023-02-12
141,36,258,1,Buena calidad,Llegó a tiempo y en perfecto estado.,True,15,2025-06-25
142,49,248,4,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",True,30,2023-06-29
143,69,201,1,Excelente producto,Llegó a tiempo y en perfecto estado.,True,12,2023-02-06
144,40,238,5,Podría mejorar,Bueno pero esperaba un poco más.,True,13,2024-08-29
145,53,171,2,Satisfecho,Excelente relación calidad-precio.,True,6,2025-10-17
146,10,260,2,Podría mejorar,Muy buena calidad por el precio.,True,1,2024-12-01
147,96,393,5,Podría mejorar,Excelente relación calidad-precio.,False,10,2023-08-24
148,85,379,5,Excelente producto,El producto es correcto pero la entrega tardó.,True,23,2023-03-30
149,58,443,3,Recomendado,Excelente relación calidad-precio.,True,5,2023-02-14
150,55,251,5,Podría mejorar,Llegó a tiempo y en perfecto estado.,True,43,2025-01-31
151,7,438,3,Podría mejorar,Cumple con lo prometido.,False,17,2024-11-29
152,37,296,3,Buena calidad,Muy buena calidad por el precio.,False,48,2023-03-15
153,45,296,5,Muy bueno,Cumple con lo prometido.,True,50,2024-08-09
154,45,488,3,Cumple expectativas,No cumplió mis expectativas.,False,31,2024-04-16
155,48,257,3,Buena calidad,Cumple con lo prometido.,True,18,2025-05-20
156,79,1,2,Muy bueno,El producto es correcto pero la entrega tardó.,True,39,2025-01-20
157,34,229,3,Muy bueno,Muy buena calidad por el precio.,False,27,2023-08-04
158,89,135,2,Podría mejorar,Excelente relación calidad-precio.,True,48,2025-11-14
159,46,254,5,Cumple expectativas,Bueno pero esperaba un poco más.,True,10,2023-09-05
160,46,403,3,Muy bueno,Bueno pero esperaba un poco más.,False,22,2023-04-16
161,39,308,1,Cumple expectativas,Cumple con lo prometido.,True,34,2025-12-19
162,37,75,2,Satisfecho,Muy buena calidad por el precio.,True,28,2025-04-30
163,1,18,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",False,29,2025-12-19
164,18,175,1,Muy bueno,Bueno pero esperaba un poco más.,False,19,2023-07-03
165,68,312,3,Satisfecho,Bueno pero esperaba un poco más.,True,23,2023-06-05
166,35,111,5,Recomendado,El producto es correcto pero la entrega tardó.,True,24,2025-08-14
167,11,383,5,Podría mejorar,El producto es correcto pero la entrega tardó.,True,33,2025-06-01
168,47,10,4,Muy bueno,Muy buena calidad por el precio.,True,24,2025-06-08
169,78,78,4,Excelente producto,Muy buena calidad por el precio.,False,24,2025-12-31
170,51,24,3,Muy bueno,Muy buena calidad por el precio.,True,37,2025-10-12
171,56,92,3,Recomendado,Excelente relación calidad-precio.,False,44,2025-01-07
172,23,441,2,Podría mejorar,Llegó a tiempo y en perfecto estado.,True,20,2023-08-20
173,46,73,1,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",True,11,2024-08-11
174,32,43,4,Satisfecho,El producto es correcto pero la entrega tardó.,True,43,2025-02-14
175,71,73,4,No tan bueno,Llegó a tiempo y en perfecto estado.,True,4,2024-09-22
176,4,390,3,Buena calidad,El producto es correcto pero la entrega tardó.,True,14,2023-03-28
177,46,375,5,Cumple expectativas,Excelente relación calidad-precio.,True,9,2024-08-20
178,57,34,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",False,21,2025-08-21
179,11,224,1,Satisfecho,Excelente relación calidad-precio.,True,31,2023-11-27
180,65,393,3,Buena calidad,Bueno pero esperaba un poco más.,True,36,2023-10-12
181,92,482,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",True,18,2023-01-08
182,63,320,3,Satisfecho,Cumple con lo prometido.,False,14,2024-03-22
183,8,163,5,Cumple expectativas,Cumple con lo prometido.,True,46,2024-03-18
184,36,100,1,Muy bueno,Muy buena calidad por el precio.,False,41,2023-08-08
185,43,32,3,Excelente producto,No cumplió mis expectativas.,True,0,2025-07-29
186,23,380,3,Recomendado,Llegó a tiempo y en perfecto estado.,True,38,2024-11-21
187,87,139,1,Satisfecho,Bueno pero esperaba un poco más.,True,34,2025-10-09
188,19,310,5,Podría mejorar,Cumple con lo prometido.,True,42,2025-07-08
189,41,136,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",True,13,2024-05-28
190,62,317,3,Excelente producto,No cumplió mis expectativas.,True,31,2024-05-02
191,25,81,5,Satisfecho,Llegó a tiempo y en perfecto estado.,False,1,2024-10-04
192,42,369,3,No tan bueno,Llegó a tiempo y en perfecto estado.,True,15,2023-11-25
193,85,298,1,Podría mejorar,Cumple con lo prometido.,True,3,2023-07-22
194,10,95,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",True,24,2024-09-14
195,42,467,1,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",True,46,2025-04-20
196,14,36,1,Excelente producto,Muy buena calidad por el precio.,True,9,2023-11-14
197,91,422,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",True,0,2024-12-22
198,68,141,3,Excelente producto,Muy buena calidad por el precio.,False,42,2024-01-23
199,12,180,1,Muy bueno,El producto es correcto pero la entrega tardó.,True,3,2025-03-24
200,31,327,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",True,27,2025-01-09
